,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1814277,112099,125372,https://product.koovs.com/112099_132e99c9f964bde10139db8831a7e11a.jpg,https://product.koovs.com/width/height/112099_132e99c9f964bde10139db8831a7e11a.jpg,Twisted Side Knot Blouse,Cover Story,1290,645,50,"[{'href': '/cover-story-blouse-with-tie-knot-detail-112099-125372.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Tops'],['Blouses'],False,False,False,False,False,,/cover-story-blouse-with-tie-knot-detail-112099-125372.html,www.koovs.com/cover-story-blouse-with-tie-knot-detail-112099-125372.html
1,1920028,133927,150318,https://product.koovs.com/150318_e10ec151e20c4b22b0488bfe048f7ed3_image1_super_zoom.jpg,https://product.koovs.com/width/height/150318_e10ec151e20c4b22b0488bfe048f7ed3_image1_super_zoom.jpg,Mesh Sleeve Choker Neck Bodysuit,KOOVS,1199,1199,0,"[{'href': '/koovs-mesh-sleeve-bodysuit-133927-150318.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Tops'],['Body Suits'],False,False,False,False,False,,/koovs-mesh-sleeve-bodysuit-133927-150318.html,www.koovs.com/koovs-mesh-sleeve-bodysuit-133927-150318.html
2,1913271,132481,148610,https://product.koovs.com/148610_49806a1a677748b1a180028f9be66105_image1_super_zoom.jpg,https://product.koovs.com/width/height/148610_49806a1a677748b1a180028f9be66105_image1_super_zoom.jpg,Baroque Chain Print Shirt,KOOVS,1199,1199,0,"[{'href': '/koovs-contrast-color-chain-print-blouse-132481-148610.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Shirts'],False,False,False,False,False,,/koovs-contrast-color-chain-print-blouse-132481-148610.html,www.koovs.com/koovs-contrast-color-chain-print-blouse-132481-148610.html
3,1913316,132488,148619,https://product.koovs.com/148619_bcfebaf6b45c486da411faeaff812cb8_image1_super_zoom.jpg,https://product.koovs.com/width/height/148619_bcfebaf6b45c486da411faeaff812cb8_image1_super_zoom.jpg,Printed Front Button Blouse,KOOVS,1199,1199,0,"[{'href': '/koovs-frill-detail-front-button-blouse-132488-148619.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Blouses'],False,False,False,False,False,,/koovs-frill-detail-front-button-blouse-132488-148619.html,www.koovs.com/koovs-frill-detail-front-button-blouse-132488-148619.html
4,1913326,132490,148621,https://product.koovs.com/148621_41013d61ec514c4db6b117a053b52e4d_image1_super_zoom.jpg,https://product.koovs.com/width/height/148621_41013d61ec514c4db6b117a053b52e4d_image1_super_zoom.jpg,Floral Chain Print Blouse,KOOVS,999,199,80,"[{'href': '/koovs-front-knot-printed-shirt-132490-148621.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Blouses'],False,False,False,False,False,,/koovs-front-knot-printed-shirt-132490-148621.html,www.koovs.com/koovs-front-knot-printed-shirt-132490-148621.html
5,1913255,132478,148606,https://product.koovs.com/148606_5a69227b82aa4cbe8178e66b00a7350d_image1_super_zoom.jpg,https://product.koovs.com/width/height/148606_5a69227b82aa4cbe8178e66b00a7350d_image1_super_zoom.jpg,Shirred Waist Collared Blouse,KOOVS,999,999,0,"[{'href': '/koovs-shirred-waist-collared-blouse-132478-148606.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Tops'],['Blouses'],False,False,False,False,False,,/koovs-shirred-waist-collared-blouse-132478-148606.html,www.koovs.com/koovs-shirred-waist-collared-blouse-132478-148606.html
6,1914181,132682,148857,https://product.koovs.com/148857_6ce45008b70f4eceb07f6282751fc262_image1_super_zoom.jpg,https://product.koovs.com/width/height/148857_6ce45008b70f4eceb07f6282751fc262_image1_super_zoom.jpg,Twin Pocket Tunic Top,Trendyol,1799,1799,0,"[{'href': '/plain-blouse-with-pockets-132682-148857.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Tops'],['Blouses'],False,False,False,False,False,,/plain-blouse-with-pockets-132682-148857.html,www.koovs.com/plain-blouse-with-pockets-132682-148857.html
7,1914214,132689,148866,https://product.koovs.com/148866_972bbda39e9b497c91ccced2fa8825d8_image1_super_zoom.jpg,https://product.koovs.com/width/height/148866_972bbda39e9b497c91ccced2fa8825d8_image1_super_zoom.jpg,Abstract Print Strappy Top,Trendyol,1799,1799,0,"[{'href': '/printed-top-468-132689-148866.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Blouses'],False,False,False,False,False,,/printed-top-468-132689-148866.html,www.koovs.com/printed-top-468-132689-148866.html
8,1914161,132678,148852,https://product.koovs.com/148852_492da8ffcbdf4b1eb56a95a5eb5133ac_image1_super_zoom.jpg,https://product.koovs.com/width/height/148852_492da8ffcbdf4b1eb56a95a5eb5133ac_image1_super_zoom.jpg,Crew Neck Lace Top,Trendyol,1799,1799,0,"[{'href': '/lace-top-187-132678-148852.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Tops'],['Blouses'],False,False,False,False,False,,/lace-top-187-132678-148852.html,www.koovs.com/lace-top-187-132678-148852.html
9,1914169,132680,148854,https://product.koovs.com/148854_b6a559a05828425486cb22aff69dbbea_image1_super_zoom.jpg,https://product.koovs.com/width/height/148854_b6a559a05828425486cb22aff69dbbea_image1_super_zoom.jpg,Tropical Print Cami Top,Trendyol,1799,1799,0,"[{'href': '/printed-cami-top-416-132680-148854.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Blouses'],False,False,False,False,False,,/printed-cami-top-416-132680-148854.html,www.koovs.com/printed-cami-top-416-132680-148854.html
